Condition,Drug,Type,Reviews,Effective,Ease of Use,Satisfaction,Average Price,Form
Pain and Inflammation,Capsaicin In Castor Oil,OTC,1,3.0,3.0,4.0,18.59,Oral Liquids
Pain and Inflammation,Acetaminophen 37,OTC,1,1.0,3.0,1.0,11.99,Oral Solids
Pain and Inflammation,Capsaicin 15,OTC,1,1.0,1.0,1.0,17.99,Ointments
Pain and Inflammation,Menthol 13,OTC,1,1.0,5.0,3.0,7.95,Ointments
Pain and Inflammation,Capsaicin 16,OTC,1,3.0,5.0,1.0,17.99,Ointments
Pain and Inflammation,Acetaminophen 38,OTC,1,4.0,3.0,5.0,11.99,Oral Solids
Infectious Disease,Moxifloxacin 4,RX,93,3.73,3.78,3.03,74.99,Oral Liquids
Infectious Disease,Ciprofloxacin Hcl,RX,36,2.83,3.21,2.52,18.75,Oral Solids
Infectious Disease,Gentamicin,RX,36,3.0,3.96,2.56,22.99,Oral Liquids
Infectious Disease,Moxifloxacin 5,RX,32,3.21,1.97,2.55,224.99,Oral Liquids
Infectious Disease,Erythromycin 4,RX,26,3.15,2.54,2.23,21.49,Ointments
Infectious Disease,Sulfacetamide Sodium,RX,20,2.93,3.29,2.71,53.99,Oral Liquids
Infectious Disease,Besifloxacin,RX,19,3.43,3.0,2.79,187.48,Oral Liquids
Infectious Disease,Gatifloxacin,RX,16,3.87,4.07,3.53,109.99,Oral Liquids
Infectious Disease,Gentamicin 2,RX,13,2.29,2.57,2.14,22.99,Oral Liquids
Infectious Disease,Ofloxacin,RX,10,3.2,4.4,2.8,79.99,Oral Liquids
Infectious Disease,Gatifloxacin 2,RX,9,4.33,4.33,3.33,109.99,Oral Liquids
Infectious Disease,Ciprofloxacin Hcl 2,RX,8,3.25,3.75,2.75,18.75,Oral Solids
Infectious Disease,Bacitracin,RX,8,3.33,4.67,2.0,11.99,Ointments
Infectious Disease,Sulfacetamide Sodium 2,RX,7,2.0,4.5,4.5,53.99,Oral Liquids
Infectious Disease,Bacitracin-Polymyxin B,RX,5,3.67,3.0,3.0,27.99,Ointments
Infectious Disease,Sulfacetamide-Prednisolone,RX,5,3.5,5.0,3.5,183.99,Oral Liquids
Infectious Disease,Levofloxacin 4,RX,4,3.5,4.5,3.0,172.99,Oral Solids
Infectious Disease,Neomycin-Bacitracin-Polymyxin,RX,3,1.0,4.0,1.0,47.99,Ointments
Infectious Disease,Sulfacetamide-Prednisolone 2,RX,3,1.0,2.0,1.0,183.99,Oral Liquids
Infectious Disease,Neomycin-Polymyxin-Gramicidin,RX,2,5.0,5.0,5.0,59.74,Oral Liquids
Infectious Disease,Azithromycin 3,RX,2,3.0,4.0,2.0,266.99,Oral Liquids
Infectious Disease,Neomycin-Polymyxin-Gramicidin 2,RX,1,1.0,1.0,1.0,59.74,Oral Liquids
Infectious Disease,Sulfacetamide Sodium 3,RX,1,5.0,5.0,5.0,53.99,Oral Liquids
Infectious Disease,Sulfacetamide Sodium 4,RX,1,1.0,1.0,1.0,53.99,Oral Liquids
Infectious Disease,Levofloxacin 5,RX,1,4.0,5.0,5.0,172.99,Oral Solids
Infectious Disease,Bacitracin-Polymyxin B 2,RX,1,4.0,3.0,3.0,27.99,Ointments
Infectious Disease,Erythromycin 5,RX,1,5.0,5.0,5.0,21.49,Ointments
Infectious Disease,Ofloxacin 2,RX,1,1.0,4.0,1.0,79.99,Oral Liquids
Infectious Disease,Bacitracin-Polymyxin B 3,RX,1,1.0,1.0,1.0,27.99,Ointments
Infectious Disease,Neomycin-Bacitracin-Polymyxin 2,RX,1,1.0,2.0,1.0,47.99,Ointments
Infectious Disease,Neomycin-Polymyxin-Gramicidin 3,RX,1,1.0,5.0,1.0,59.74,Oral Liquids
Infectious Disease,Gentamicin-Prednisolone,RX,1,4.0,5.0,4.0,184.99,Oral Liquids
Infectious Disease,Gatifloxacin 3,RX,1,5.0,2.0,5.0,109.99,Oral Liquids
Infectious Disease,Besifloxacin 2,RX,1,3.0,5.0,3.0,187.48,Oral Liquids
Infectious Disease,Levofloxacin 6,RX,994,2.52,3.01,1.84,172.99,Oral Solids
Infectious Disease,"Ciprofloxacin Hcl, Ciprofloxacin",RX,627,3.06,3.18,2.12,18.75,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim,RX,580,3.03,2.88,2.16,15.99,Oral Solids
Infectious Disease,Ciprofloxacin,RX,538,3.59,3.78,2.75,18.75,Oral Solids
Infectious Disease,Doxycycline Hyclate,RX,466,3.54,3.72,3.11,77.99,Oral Solids
Infectious Disease,Levofloxacin 7,RX,361,2.44,2.96,1.68,172.99,Oral Solids
Infectious Disease,Cephalexin,RX,348,2.93,3.47,2.24,13.82,Oral Solids
Infectious Disease,Cefdinir,RX,285,2.36,3.35,1.85,85.99,Oral Solids
Infectious Disease,Cephalexin 2,RX,257,2.85,3.14,2.18,13.82,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 2,RX,256,2.95,3.2,2.14,15.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 3,RX,239,3.19,3.25,2.28,15.99,Oral Solids
Infectious Disease,Nitrofurantoin,RX,226,2.51,2.57,1.8,878.99,Oral Liquids
Infectious Disease,Doxycycline Calcium,RX,204,3.47,3.27,2.92,77.99,Oral Solids
Infectious Disease,Minocycline,RX,203,3.07,3.65,2.38,40.1,Oral Solids
Infectious Disease,Cefuroxime Axetil,RX,156,3.15,3.06,2.33,86.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 4,RX,144,3.0,3.72,2.62,15.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 5,RX,138,3.0,2.83,2.38,15.99,Oral Solids
Infectious Disease,Cefdinir 2,RX,125,2.36,3.78,1.69,85.99,Oral Solids
Infectious Disease,Doxycycline Hyclate 2,RX,112,3.36,3.5,2.8,77.99,Oral Solids
Infectious Disease,Cefuroxime Axetil 2,RX,97,3.23,3.62,2.85,86.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 6,RX,43,2.9,3.5,1.7,15.99,Oral Solids
Infectious Disease,Trimethoprim,RX,38,3.32,3.58,3.0,17.69,Oral Solids
Infectious Disease,Doxycycline Monohydrate,RX,38,3.21,3.79,3.29,44.79,Oral Solids
Infectious Disease,Ceftriaxone,RX,37,3.67,2.67,3.33,20.09,Injectables
Infectious Disease,"Doxycycline Calcium, Doxycycline Hyclate, Doxycycline Monohydrate",RX,32,1.86,2.0,1.57,77.99,Oral Solids
Infectious Disease,Levofloxacin 8,RX,30,4.0,3.71,2.43,172.99,Oral Solids
Infectious Disease,Doxycycline Hyclate 3,RX,30,3.82,3.91,3.27,77.99,Oral Solids
Infectious Disease,Doxycycline Monohydrate 2,RX,27,4.23,3.69,3.88,77.99,Oral Solids
Infectious Disease,Cefadroxil,RX,26,2.64,3.36,2.07,43.09,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 7,RX,25,3.36,2.45,2.73,15.99,Oral Solids
Infectious Disease,Levofloxacin 9,RX,23,3.29,4.43,3.0,172.99,Oral Solids
Infectious Disease,Minocycline 2,RX,23,3.22,3.22,2.56,40.1,Oral Solids
Infectious Disease,Ciprofloxacin Hcl 3,RX,22,3.57,3.43,3.0,18.75,Oral Solids
Infectious Disease,Doxycycline Monohydrate 3,RX,18,3.91,4.45,4.0,77.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 8,RX,16,2.5,2.0,1.25,15.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 9,RX,14,2.75,3.0,2.25,15.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 10,RX,13,2.67,2.67,2.67,15.99,Oral Solids
Infectious Disease,Ceftriaxone 2,RX,12,5.0,5.0,5.0,20.09,Injectables
Infectious Disease,Cefadroxil 2,RX,11,2.25,2.25,1.88,43.09,Oral Solids
Infectious Disease,Cefazolin,RX,11,2.5,2.5,2.5,5.99,Injectables
Infectious Disease,Doxycycline Hyclate 4,RX,9,2.0,2.33,1.67,77.99,Oral Solids
Infectious Disease,Ofloxacin 3,RX,9,1.0,2.0,1.0,79.99,Oral Liquids
Infectious Disease,Ofloxacin 4,RX,8,1.0,3.0,1.0,79.99,Oral Liquids
Infectious Disease,Cefazolin 2,RX,6,2.33,2.0,2.33,5.99,Injectables
Infectious Disease,Nitrofurantoin 2,RX,5,5.0,4.67,4.67,878.99,Oral Liquids
Infectious Disease,Cefepime,RX,5,3.0,5.0,2.5,167.51,Injectables
Infectious Disease,Minocycline 3,RX,5,4.5,4.5,3.5,40.1,Oral Solids
Infectious Disease,Imipenem-Cilastatin,RX,4,5.0,5.0,5.0,107.89,Injectables
Infectious Disease,Levofloxacin 10,RX,4,5.0,5.0,5.0,172.99,Oral Solids
Infectious Disease,Cefazolin 3,RX,4,2.5,2.5,1.0,5.99,Injectables
Infectious Disease,Amikacin,RX,4,1.0,1.0,1.0,147.99,Injectables
Infectious Disease,Doxycycline Hyclate 5,RX,4,5.0,2.0,2.0,77.99,Oral Solids
Infectious Disease,Ceftazidime,RX,3,3.0,3.0,3.0,90.69,Injectables
Infectious Disease,Acetohydroxamic Acid,RX,3,2.5,4.0,2.0,638.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 11,RX,3,5.0,4.0,4.0,15.99,Oral Solids
Infectious Disease,Aztreonam,RX,3,4.0,3.0,2.0,175.89,Injectables
Infectious Disease,Trimethoprim 2,RX,3,4.5,3.0,3.0,17.69,Oral Solids
Infectious Disease,Demeclocycline,RX,3,1.0,1.0,1.0,880.99,Oral Solids
Infectious Disease,Doxycycline Hyclate 6,RX,3,3.0,1.0,1.0,77.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 12,RX,2,1.0,4.0,1.0,15.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 13,RX,2,1.0,1.0,1.0,15.99,Oral Solids
Infectious Disease,Ceftazidime 2,RX,2,1.0,5.0,1.0,90.69,Injectables
Infectious Disease,"Ceftriaxone In Dextrose,Iso-Os",RX,2,5.0,5.0,5.0,20.09,Injectables
Infectious Disease,Demeclocycline 2,RX,2,1.0,5.0,1.0,880.99,Oral Solids
Infectious Disease,Doxycycline Hyclate 7,RX,2,1.0,1.5,1.0,77.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 14,RX,1,2.0,2.0,2.0,15.99,Oral Solids
Infectious Disease,Sulfamethoxazole-Trimethoprim 15,RX,1,1.0,1.0,1.0,15.99,Oral Solids
Infectious Disease,Cephalexin 3,RX,1,2.0,5.0,1.0,13.82,Oral Solids
Infectious Disease,Aztreonam 2,RX,1,3.0,2.0,3.0,175.89,Injectables
Infectious Disease,Ciprofloxacin Hcl 4,RX,1,5.0,5.0,5.0,18.75,Oral Solids
Infectious Disease,Doxycycline Hyclate 8,RX,1,4.0,5.0,4.0,77.99,Oral Solids
Infectious Disease,Cefazolin In Dextrose (Iso-Os),RX,1,1.0,1.0,1.0,5.99,Injectables
Infectious Disease,"Ceftriaxone In Dextrose,Iso-Os 2",RX,1,5.0,2.0,5.0,20.09,Injectables
Infectious Disease,Cephalexin 4,RX,1,5.0,5.0,5.0,13.82,Oral Solids
Infectious Disease,Imipenem-Cilastatin 2,RX,1,5.0,3.0,4.0,107.89,Injectables
Infectious Disease,Doxycycline Hyclate 9,RX,1,3.0,3.0,2.0,77.99,Oral Solids
Infectious Disease,Cefuroxime Sodium,RX,1,5.0,5.0,5.0,778.69,Injectables
Infectious Disease,Doxycycline Hyclate 10,RX,1,5.0,5.0,5.0,77.99,Oral Solids
Infectious Disease,Cefazolin In Dextrose (Iso-Os) 2,RX,1,3.0,5.0,1.0,5.99,Injectables
Gastrointestinal Disease,Ursodiol,RX,54,3.95,4.45,3.82,84.89,Oral Solids
Gastrointestinal Disease,Ursodiol 2,RX,34,4.17,4.52,4.0,84.89,Oral Solids
Gastrointestinal Disease,Ursodiol 3,RX,21,4.57,4.71,4.29,84.89,Oral Solids
Gastrointestinal Disease,Ursodiol 4,RX,11,4.38,4.13,4.5,84.89,Oral Solids
Infectious Disease,Valacyclovir,RX,350,4.29,4.6,4.15,222.79,Oral Solids
Infectious Disease,Valacyclovir 2,RX,146,3.96,4.16,3.61,222.79,Oral Solids
Infectious Disease,Acyclovir,RX,47,4.25,3.5,3.75,42.99,Oral Solids
Infectious Disease,Acyclovir Sodium,RX,3,5.0,4.5,5.0,167.99,Injectables
Chronic Disease,Fluorouracil 2,RX,5,3.0,1.0,3.0,25.99,Injectables
Chronic Disease,Doxepin 3,RX,241,3.71,4.52,3.4,13.17,Oral Solids
Chronic Disease,Fluvoxamine,RX,139,3.61,4.12,3.35,80.49,Oral Solids
Chronic Disease,Phenelzine,RX,88,4.36,4.28,4.2,79.59,Oral Solids
Chronic Disease,Fluvoxamine 2,RX,59,3.83,4.07,3.59,80.49,Oral Solids
Chronic Disease,Clomipramine,RX,58,3.71,3.89,3.29,208.99,Oral Solids
Chronic Disease,Clomipramine 2,RX,58,3.67,4.18,3.39,208.99,Oral Solids
Chronic Disease,Fluvoxamine 3,RX,53,3.73,4.33,3.7,80.49,Oral Solids
Chronic Disease,Desipramine,RX,48,3.18,4.53,2.88,41.99,Oral Solids
Chronic Disease,Doxepin 4,RX,32,3.13,4.0,3.0,13.17,Oral Solids
Chronic Disease,Desipramine 2,RX,23,4.0,4.23,3.46,41.99,Oral Solids
Chronic Disease,Imipramine Pamoate,RX,22,2.82,3.55,2.82,419.99,Oral Solids
Chronic Disease,Imipramine Pamoate 2,RX,16,3.45,4.45,3.0,419.99,Oral Solids
Chronic Disease,Protriptyline,RX,11,3.63,4.75,3.63,156.99,Oral Solids
Chronic Disease,Protriptyline 2,RX,8,3.33,4.5,3.5,156.99,Oral Solids
Chronic Disease,Maprotiline,RX,7,3.2,3.4,3.2,71.99,Oral Solids
Chronic Disease,Phenelzine 2,RX,6,3.0,3.5,2.5,79.59,Oral Solids
Chronic Disease,Maprotiline 2,RX,6,4.5,3.25,4.25,71.99,Oral Solids
Chronic Disease,Doxepin 5,RX,4,5.0,5.0,5.0,13.17,Oral Solids
Chronic Disease,Amoxapine,RX,4,4.0,5.0,3.5,47.39,Oral Solids
Chronic Disease,Amoxapine 2,RX,2,5.0,5.0,5.0,47.39,Oral Solids
Gastrointestinal Disease,Metronidazole,RX,629,3.9,3.22,3.11,19.99,Oral Solids
Gastrointestinal Disease,"Ciprofloxacin Hcl, Ciprofloxacin 2",RX,627,3.06,3.18,2.12,18.75,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 16,RX,580,3.03,2.88,2.16,15.99,Oral Solids
Gastrointestinal Disease,Metronidazole 2,RX,562,3.78,3.09,2.73,19.99,Oral Solids
Gastrointestinal Disease,Ciprofloxacin 2,RX,538,3.59,3.78,2.75,18.75,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 17,RX,256,2.95,3.2,2.14,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 18,RX,239,3.19,3.25,2.28,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 19,RX,144,3.0,3.72,2.62,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 20,RX,138,3.0,2.83,2.38,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 21,RX,43,2.9,3.5,1.7,15.99,Oral Solids
Gastrointestinal Disease,Piperacillin-Tazobactam,RX,39,2.75,2.63,2.75,90.11,Injectables
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 22,RX,25,3.36,2.45,2.73,15.99,Oral Solids
Gastrointestinal Disease,Ciprofloxacin Hcl 5,RX,22,3.57,3.43,3.0,18.75,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 23,RX,16,2.5,2.0,1.25,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 24,RX,14,2.75,3.0,2.25,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 25,RX,13,2.67,2.67,2.67,15.99,Oral Solids
Gastrointestinal Disease,Tigecycline,RX,9,3.0,2.33,2.67,7991.99,Injectables
Gastrointestinal Disease,Metronidazole 3,RX,7,3.0,4.0,2.0,19.99,Oral Solids
Gastrointestinal Disease,Amikacin 2,RX,4,1.0,1.0,1.0,147.99,Injectables
Gastrointestinal Disease,Ampicillin-Sulbactam,RX,3,5.0,5.0,5.0,24.99,Injectables
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 26,RX,3,5.0,4.0,4.0,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 27,RX,2,1.0,4.0,1.0,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 28,RX,2,1.0,1.0,1.0,15.99,Oral Solids
Gastrointestinal Disease,Metronidazole 4,RX,2,3.0,3.0,3.0,19.99,Oral Solids
Gastrointestinal Disease,Clindamycin Phosphate,RX,2,2.0,3.0,1.0,81.99,Ointments
Gastrointestinal Disease,Ampicillin-Sulbactam 2,RX,2,1.0,5.0,1.0,24.99,Injectables
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 29,RX,1,1.0,1.0,1.0,15.99,Oral Solids
Gastrointestinal Disease,Sulfamethoxazole-Trimethoprim 30,RX,1,2.0,2.0,2.0,15.99,Oral Solids
Gastrointestinal Disease,Metronidazole 5,RX,1,5.0,3.0,4.0,19.99,Oral Solids
Pain and Inflammation,Hydrochlorothiazide,RX,853,3.3,3.96,2.77,11.99,Oral Solids
Pain and Inflammation,Spironolactone,RX,378,3.88,4.36,3.5,23.39,Oral Solids
Pain and Inflammation,Furosemide,RX,224,3.05,4.16,2.97,11.99,Oral Solids
Pain and Inflammation,Furosemide 2,RX,196,3.21,4.01,2.99,11.99,Oral Solids
Pain and Inflammation,Triamterene-Hydrochlorothiazid,RX,155,3.88,4.24,3.45,11.49,Oral Solids
Pain and Inflammation,Acetazolamide,RX,113,3.52,3.41,2.97,70.49,Oral Solids
Pain and Inflammation,Acetazolamide 2,RX,95,3.69,3.27,2.81,70.49,Oral Solids
Pain and Inflammation,Spironolactone 2,RX,79,3.95,4.4,3.25,23.39,Oral Solids
Pain and Inflammation,Triamterene-Hydrochlorothiazid 2,RX,74,3.83,4.46,3.31,11.49,Oral Solids
Pain and Inflammation,Chlorthalidone,RX,70,3.02,3.9,2.25,37.99,Oral Solids
Pain and Inflammation,Torsemide,RX,43,3.85,4.1,3.1,25.99,Oral Solids
Pain and Inflammation,Triamterene-Hydrochlorothiazid 3,RX,38,3.46,4.21,3.18,11.49,Oral Solids
Pain and Inflammation,Bumetanide,RX,34,3.78,4.17,3.61,66.99,Oral Solids
Pain and Inflammation,Hydrochlorothiazide 2,RX,25,4.12,4.41,3.94,11.99,Oral Solids
Pain and Inflammation,Bumetanide 2,RX,20,4.0,4.5,3.63,66.99,Oral Solids
Pain and Inflammation,Spironolacton-Hydrochlorothiaz,RX,18,3.27,3.67,3.0,29.47,Oral Solids
Pain and Inflammation,Torsemide 2,RX,15,3.17,3.0,2.67,25.99,Oral Solids
Pain and Inflammation,Ethacrynic Acid,RX,12,4.33,4.0,3.0,94.99,Oral Solids
Pain and Inflammation,Spironolacton-Hydrochlorothiaz 2,RX,7,4.17,3.83,2.67,29.47,Oral Solids
Pain and Inflammation,Triamterene,RX,7,3.33,4.0,1.67,172.39,Oral Solids
Pain and Inflammation,Indapamide,RX,5,3.8,4.6,3.4,21.99,Oral Solids
Pain and Inflammation,Hydrochlorothiazide 3,RX,5,3.33,3.67,3.0,11.99,Oral Solids
Pain and Inflammation,Furosemide 3,RX,2,2.0,5.0,1.0,11.99,Oral Solids
Pain and Inflammation,Triamterene-Hydrochlorothiazid 4,RX,2,3.0,5.0,3.0,11.49,Oral Solids
Pain and Inflammation,Chlorthalidone 2,RX,2,1.0,5.0,1.0,37.99,Oral Solids
Pain and Inflammation,Hydrochlorothiazide 4,RX,2,3.0,5.0,2.0,11.99,Oral Solids
Pain and Inflammation,Hydrochlorothiazide 5,RX,2,3.0,4.0,2.0,11.99,Oral Solids
Pain and Inflammation,"Triamterene-Hydrochlorothiazid, Trichlormethiazide",RX,2,2.0,1.0,1.0,11.49,Oral Solids
Pain and Inflammation,Triamterene-Hydrochlorothiazid 5,RX,1,2.0,1.0,1.0,11.49,Oral Solids
Pain and Inflammation,Spironolacton-Hydrochlorothiaz 3,RX,1,1.0,4.0,1.0,29.47,Oral Solids
Pain and Inflammation,Hydrochlorothiazide 6,RX,1,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Furosemide 4,RX,1,2.0,2.0,2.0,11.99,Oral Solids
Pain and Inflammation,Hydrochlorothiazide 7,RX,1,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,Bumetanide 3,RX,1,1.0,2.0,1.0,66.99,Oral Solids
Pain and Inflammation,Hydrochlorothiazide 8,RX,1,5.0,5.0,4.0,11.99,Oral Solids
Pain and Inflammation,Chlorthalidone 3,RX,1,4.0,4.0,4.0,37.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron,RX,619,4.2,4.2,2.8,181.99,Oral Solids
Others,Medroxyprogesterone,RX,450,4.36,4.22,2.5,98.99,Injectables
Others,Noreth-Ethinyl Estradiol-Iron,RX,359,4.07,4.44,2.64,135.99,Oral Solids
Others,L Norgest/E.Estradiol-E.Estrad,RX,357,3.69,4.13,2.58,219.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 2,RX,353,4.06,4.06,2.33,181.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad,RX,246,4.14,4.26,2.79,30.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 3,RX,211,3.87,3.96,1.83,181.99,Oral Solids
Others,Norethindrone-Ethin Estradiol,RX,207,4.02,4.24,2.69,31.99,Oral Solids
Others,Norgestrel-Ethinyl Estradiol,RX,191,4.11,4.16,2.32,27.99,Oral Solids
Others,Medroxyprogesterone 2,RX,180,4.1,4.0,2.41,98.99,Injectables
Others,Levonorgestrel-Ethinyl Estrad 2,RX,166,4.1,4.46,2.85,30.99,Oral Solids
Others,Noreth-Ethinyl Estradiol-Iron 2,RX,156,3.83,4.04,2.52,135.99,Oral Solids
Others,Norgestimate-Ethinyl Estradiol,RX,154,4.39,4.35,3.08,31.99,Oral Solids
Others,L Norgest/E.Estradiol-E.Estrad 2,RX,133,3.19,3.99,2.06,219.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 4,RX,113,4.3,4.45,2.45,181.99,Oral Solids
Others,Norgestrel-Ethinyl Estradiol 2,RX,103,4.48,4.67,3.3,27.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 5,RX,99,3.83,4.1,2.44,181.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 3,RX,98,2.83,4.29,2.38,30.99,Oral Solids
Others,Levonorg-Eth Estrad Triphasic,RX,96,4.58,4.34,3.13,30.99,Oral Solids
Others,Levonorg-Eth Estrad Triphasic 2,RX,95,3.71,3.82,1.9,30.99,Oral Solids
Others,Norgestimate-Ethinyl Estradiol 2,RX,95,3.11,3.55,1.38,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 2,RX,89,3.65,4.09,2.53,31.99,Oral Solids
Others,Norethindrone Acetate,RX,88,3.81,4.33,3.5,71.99,Oral Solids
Others,Norgestrel-Ethinyl Estradiol 3,RX,82,4.17,4.17,2.79,27.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 4,RX,81,4.29,4.28,2.63,30.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 3,RX,80,4.45,3.92,2.51,31.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 5,RX,79,4.48,4.38,3.15,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 6,RX,77,3.88,3.88,2.33,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 7,RX,76,4.24,4.16,3.0,30.99,Oral Solids
Others,L Norgest/E.Estradiol-E.Estrad 3,RX,76,4.09,4.27,2.77,219.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 8,RX,72,4.08,3.95,2.4,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 9,RX,70,4.43,4.35,2.53,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 10,RX,67,4.52,4.36,2.8,30.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 4,RX,66,4.2,4.0,2.66,31.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol,RX,64,4.5,4.42,3.17,28.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 2,RX,62,3.94,4.51,2.66,28.99,Oral Solids
Others,Norgestimate-Ethinyl Estradiol 3,RX,60,4.47,4.58,2.64,27.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 6,RX,54,4.03,4.24,2.71,181.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 5,RX,54,3.48,3.8,2.12,31.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 7,RX,53,4.05,4.07,2.1,181.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 11,RX,52,4.38,4.62,2.97,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 12,RX,51,3.53,3.83,2.33,30.99,Oral Solids
Others,Norgestimate-Ethinyl Estradiol 4,RX,48,3.62,4.21,2.26,31.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 8,RX,46,4.1,4.67,3.33,181.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 13,RX,42,2.64,2.58,1.31,30.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 6,RX,41,3.68,3.95,2.27,31.99,Oral Solids
Others,L Norgest/E.Estradiol-E.Estrad 4,RX,35,4.31,4.06,2.13,311.99,Oral Solids
Others,Norethin-E.Estradiol Triphasic,RX,34,4.32,4.28,2.84,31.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 3,RX,32,3.39,3.96,2.22,28.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 14,RX,32,4.5,4.75,3.5,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 15,RX,32,4.52,4.19,2.0,30.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 9,RX,26,4.76,4.71,2.94,288.99,Oral Solids
Others,Norethin-E.Estradiol Triphasic 2,RX,26,4.08,4.46,3.62,31.99,Oral Solids
Others,Danazol,RX,26,3.38,3.88,3.38,119.61,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 16,RX,24,4.4,3.93,2.53,30.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 10,RX,23,4.88,4.82,4.47,288.99,Oral Solids
Others,Norgestimate-Ethinyl Estradiol 5,RX,21,3.58,4.0,3.08,27.99,Oral Solids
Others,L Norgest/E.Estradiol-E.Estrad 5,RX,20,4.0,4.71,2.43,219.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 7,RX,20,3.92,4.08,3.54,31.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 4,RX,20,4.28,3.72,2.83,28.99,Oral Solids
Others,Norethin-E.Estradiol Triphasic 3,RX,19,4.38,4.13,3.5,31.99,Oral Solids
Others,Norgestimate-Ethinyl Estradiol 6,RX,19,3.36,3.27,1.64,27.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 5,RX,19,4.7,4.7,2.9,28.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 17,RX,18,3.64,3.82,2.73,30.99,Oral Solids
